  .130	.0000E+00
  .140	.0000E+00
  .150	.0000E+00
  .160	.0000E+00
  .170	.0000E+00
  .180	.0000E+00
  .190	.0000E+00
  .200	.1483E-03
  .210	.2042E-03
  .220	.1401E+00
  .230	.8065E-01
  .240	.7398E-01
  .250	.9790E-01
  .260	.1279E+00
  .270	.2771E+00
  .280	.4277E+00
  .290	.5517E+00
  .300	.5972E+00
  .310	.6290E+00
  .320	.6552E+00
  .330	.6775E+00
  .340	.6976E+00
  .350	.7157E+00
  .360	.7325E+00
  .370	.7476E+00
  .380	.7615E+00
  .390	.7743E+00
  .400	.8012E+00
  .425	.8246E+00
  .450	.8453E+00
  .475	.8633E+00
  .500	.8792E+00
  .525	.8939E+00
  .550	.9001E+00
  .575	.9054E+00
  .600	.9102E+00
  .625	.8897E+00
  .650	.9181E+00
  .675	.9194E+00
  .687	.8961E+00
  .700	.8181E+00
  .725	.8967E+00
  .750	.9046E+00
  .764	.8878E+00
  .775	.9254E+00
  .800	.8956E+00
  .825	.9151E+00
  .850	.9303E+00
  .875	.8868E+00
  .900	.8328E+00
  .925	.7401E+00
  .937	.7858E+00
  .950	.9035E+00
  .975	.9327E+00
 1.000	.9436E+00
 1.020	.9446E+00
 1.050	.9428E+00
 1.070	.9450E+00
 1.100	.6037E+00
 1.130	.6835E+00
 1.150	.8655E+00
 1.170	.8894E+00
 1.200	.9506E+00
 1.220	.9482E+00
 1.250	.9462E+00
 1.270	.8729E+00
 1.300	.7321E+00
 1.320	.2640E+00
 1.350	.9668E-01
 1.380	.1632E+00
 1.400	.4213E+00
 1.420	.5594E+00
 1.450	.6148E+00
 1.470	.8739E+00
 1.500	.9378E+00
 1.520	.9401E+00
 1.550	.9200E+00
 1.570	.9414E+00
 1.630	.9537E+00
 1.650	.9561E+00
 1.670	.9481E+00
 1.700	.9325E+00
 1.720	.9097E+00
 1.750	.8307E+00
 1.770	.5231E+00
 1.800	.2754E+00
 1.820	.1007E+00
 1.850	.9401E-01
 1.880	.1426E+00
 1.900	.2429E+00
 1.920	.4264E+00
 1.940	.5640E+00
 1.950	.5733E+00
 1.960	.7601E+00
 1.970	.8111E+00
 1.980	.6755E+00
 2.000	.6030E+00
 2.010	.8977E+00
 2.040	.8815E+00
 2.050	.8383E+00
 2.070	.8558E+00
 2.08 	.9456E+00
 2.100	.9625E+00
 2.130	.9655E+00
 2.14 	.9773E+00
 2.150	.9717E+00
 2.170	.9667E+00
 2.200	.9498E+00
 2.220	.9380E+00
 2.250	.9358E+00
 2.270	.9289E+00
 2.300	.9278E+00
 2.320	.9237E+00
 2.350	.9154E+00
 2.380	.8951E+00
 2.400	.7740E+00
 2.450	.3850E+00
 2.500	.2127E-01
 2.550	.1282E-02
 2.600	.3430E-03
 2.630	.3669E-04
 2.650	.1214E-06
 2.690	.1158E-06
 2.700	.5212E-04
 2.740	.1213E-04
 2.750	.5203E-05
 2.760	.2030E-03
 2.800	.4288E-01
 2.850	.2485E+00
 2.900	.2964E+00
 2.920	.3953E+00
 2.950	.5537E+00
 3.000	.4308E+00
 3.070	.4068E+00
 3.100	.5103E+00
 3.130	.6458E+00
 3.150	.7672E+00
 3.160	.6833E+00
 3.170	.5727E+00
 3.200	.4672E+00
 3.220	.5376E+00
 3.250	.5911E+00
 3.270	.5565E+00
 3.300	.5247E+00
 3.320	.6112E+00
 3.350	.7112E+00
 3.380	.7555E+00
